order,structure_ID,lowered_ID,structure_id_path,very_general_region,general_region,full_structure_name,collapsed_region_name,abbreviation,collapsed_region,other_abbreviation,other_abbreviation_defined,layer,sunburst,R,G,B
130,1114,1103,/997/8/567/688/695/315/669/402/1114/,Isocortex,Visual,"Anterolateral visual area, layer 4",Visual,VISal4,VIS,al,anterolateral,4,"VISal4: rgb(8,133,136)",8,133,136
131,233,226,/997/8/567/688/695/315/669/402/233/,Isocortex,Visual,"Anterolateral visual area, layer 5",Visual,VISal5,VIS,al,anterolateral,5,"VISal5: rgb(8,132,139)",8,132,139
132,601,591,/997/8/567/688/695/315/669/402/601/,Isocortex,Visual,"Anterolateral visual area, layer 6a",Visual,VISal6a,VIS,al,anterolateral,6a,"VISal6a: rgb(9,130,140)",9,130,140
133,649,639,/997/8/567/688/695/315/669/402/649/,Isocortex,Visual,"Anterolateral visual area, layer 6b",Visual,VISal6b,VIS,al,anterolateral,6b,"VISal6b: rgb(11,132,140)",11,132,140
134,394,#N/A,/997/8/567/688/695/315/669/394/,Isocortex,Visual,Anteromedial visual area,Visual,VISam,VIS,am,anteromedial,,"VISam: rgb(8,131,139)",8,131,139
135,281,272,/997/8/567/688/695/315/669/394/281/,Isocortex,Visual,"Anteromedial visual area, layer 1",Visual,VISam1,VIS,am,anteromedial,1,"VISam1: rgb(9,132,139)",9,132,139
136,1066,1055,/997/8/567/688/695/315/669/394/1066/,Isocortex,Visual,"Anteromedial visual area, layer 2/3",Visual,VISam2/3,VIS,am,anteromedial,45325,"VISam2/3: rgb(11,132,138)",11,132,138
137,401,391,/997/8/567/688/695/315/669/394/401/,Isocortex,Visual,"Anteromedial visual area, layer 4",Visual,VISam4,VIS,am,anteromedial,4,"VISam4: rgb(9,133,138)",9,133,138
138,433,423,/997/8/567/688/695/315/669/394/433/,Isocortex,Visual,"Anteromedial visual area, layer 5",Visual,VISam5,VIS,am,anteromedial,5,"VISam5: rgb(10,132,139)",10,132,139
139,1046,1035,/997/8/567/688/695/315/669/394/1046/,Isocortex,Visual,"Anteromedial visual area, layer 6a",Visual,VISam6a,VIS,am,anteromedial,6a,"VISam6a: rgb(10,130,139)",10,130,139
140,441,431,/997/8/567/688/695/315/669/394/441/,Isocortex,Visual,"Anteromedial visual area, layer 6b",Visual,VISam6b,VIS,am,anteromedial,6b,"VISam6b: rgb(8,131,138)",8,131,138
141,409,#N/A,/997/8/567/688/695/315/669/409/,Isocortex,Visual,Lateral visual area,Visual,VISl,VIS,l,lateral,,"VISl: rgb(10,132,140)",10,132,140
142,421,411,/997/8/567/688/695/315/669/409/421/,Isocortex,Visual,"Lateral visual area, layer 1",Visual,VISl1,VIS,l,lateral,1,"VISl1: rgb(9,132,138)",9,132,138
143,973,963,/997/8/567/688/695/315/669/409/973/,Isocortex,Visual,"Lateral visual area, layer 2/3",Visual,VISl2/3,VIS,l,lateral,45325,"VISl2/3: rgb(10,132,137)",10,132,137
144,573,563,/997/8/567/688/695/315/669/409/573/,Isocortex,Visual,"Lateral visual area, layer 4",Visual,VISl4,VIS,l,lateral,4,"VISl4: rgb(8,130,139)",8,130,139
145,613,603,/997/8/567/688/695/315/669/409/613/,Isocortex,Visual,"Lateral visual area, layer 5",Visual,VISl5,VIS,l,lateral,5,"VISl5: rgb(11,133,139)",11,133,139
146,74,69,/997/8/567/688/695/315/669/409/74/,Isocortex,Visual,"Lateral visual area, layer 6a",Visual,VISl6a,VIS,l,lateral,6a,"VISl6a: rgb(8,132,140)",8,132,140
147,121,116,/997/8/567/688/695/315/669/409/121/,Isocortex,Visual,"Lateral visual area, layer 6b",Visual,VISl6b,VIS,l,lateral,6b,"VISl6b: rgb(9,133,140)",9,133,140
148,385,#N/A,/997/8/567/688/695/315/669/385/,Isocortex,Visual,Primary visual area,Visual,VISp,VIS,p,primary,,"VISp: rgb(10,133,140)",10,133,140
149,593,583,/997/8/567/688/695/315/669/385/593/,Isocortex,Visual,"Primary visual area, layer 1",Visual,VISp1,VIS,p,primary,1,"VISp1: rgb(9,133,137)",9,133,137
150,821,811,/997/8/567/688/695/315/669/385/821/,Isocortex,Visual,"Primary visual area, layer 2/3",Visual,VISp2/3,VIS,p,primary,45325,"VISp2/3: rgb(10,130,140)",10,130,140
151,721,711,/997/8/567/688/695/315/669/385/721/,Isocortex,Visual,"Primary visual area, layer 4",Visual,VISp4,VIS,p,primary,4,"VISp4: rgb(11,132,139)",11,132,139
152,778,768,/997/8/567/688/695/315/669/385/778/,Isocortex,Visual,"Primary visual area, layer 5",Visual,VISp5,VIS,p,primary,5,"VISp5: rgb(8,131,137)",8,131,137
153,33,29,/997/8/567/688/695/315/669/385/33/,Isocortex,Visual,"Primary visual area, layer 6a",Visual,VISp6a,VIS,p,primary,6a,"VISp6a: rgb(8,133,140)",8,133,140
154,305,295,/997/8/567/688/695/315/669/385/305/,Isocortex,Visual,"Primary visual area, layer 6b",Visual,VISp6b,VIS,p,primary,6b,"VISp6b: rgb(8,133,138)",8,133,138
155,425,#N/A,/997/8/567/688/695/315/669/425/,Isocortex,Visual,Posterolateral visual area,Visual,VISpl,VIS,pl,posterolateral,,"VISpl: rgb(9,131,139)",9,131,139
156,750,740,/997/8/567/688/695/315/669/425/750/,Isocortex,Visual,"Posterolateral visual area, layer 1",Visual,VISpl1,VIS,pl,posterolateral,1,"VISpl1: rgb(10,131,138)",10,131,138
157,269,261,/997/8/567/688/695/315/669/425/269/,Isocortex,Visual,"Posterolateral visual area, layer 2/3",Visual,VISpl2/3,VIS,pl,posterolateral,45325,"VISpl2/3: rgb(9,132,140)",9,132,140
158,869,859,/997/8/567/688/695/315/669/425/869/,Isocortex,Visual,"Posterolateral visual area, layer 4",Visual,VISpl4,VIS,pl,posterolateral,4,"VISpl4: rgb(11,133,138)",11,133,138
159,902,892,/997/8/567/688/695/315/669/425/902/,Isocortex,Visual,"Posterolateral visual area, layer 5",Visual,VISpl5,VIS,pl,posterolateral,5,"VISpl5: rgb(11,131,140)",11,131,140
160,377,367,/997/8/567/688/695/315/669/425/377/,Isocortex,Visual,"Posterolateral visual area, layer 6a",Visual,VISpl6a,VIS,pl,posterolateral,6a,"VISpl6a: rgb(8,131,140)",8,131,140
161,393,383,/997/8/567/688/695/315/669/425/393/,Isocortex,Visual,"Posterolateral visual area, layer 6b",Visual,VISpl6b,VIS,pl,posterolateral,6b,"VISpl6b: rgb(8,132,138)",8,132,138
162,533,#N/A,/997/8/567/688/695/315/669/533/,Isocortex,Visual,Posteromedial visual area,Visual,VISpm,VIS,pm,posteromedial,,"VISpm: rgb(10,131,139)",10,131,139
163,805,795,/997/8/567/688/695/315/669/533/805/,Isocortex,Visual,"Posteromedial visual area, layer 1",Visual,VISpm1,VIS,pm,posteromedial,1,"VISpm1: rgb(10,133,137)",10,133,137
164,41,36,/997/8/567/688/695/315/669/533/41/,Isocortex,Visual,"Posteromedial visual area, layer 2/3",Visual,VISpm2/3,VIS,pm,posteromedial,45325,"VISpm2/3: rgb(8,133,139)",8,133,139
165,501,491,/997/8/567/688/695/315/669/533/501/,Isocortex,Visual,"Posteromedial visual area, layer 4",Visual,VISpm4,VIS,pm,posteromedial,4,"VISpm4: rgb(9,130,139)",9,130,139
166,565,555,/997/8/567/688/695/315/669/533/565/,Isocortex,Visual,"Posteromedial visual area, layer 5",Visual,VISpm5,VIS,pm,posteromedial,5,"VISpm5: rgb(8,132,137)",8,132,137
167,257,250,/997/8/567/688/695/315/669/533/257/,Isocortex,Visual,"Posteromedial visual area, layer 6a",Visual,VISpm6a,VIS,pm,posteromedial,6a,"VISpm6a: rgb(9,133,139)",9,133,139
168,469,459,/997/8/567/688/695/315/669/533/469/,Isocortex,Visual,"Posteromedial visual area, layer 6b",Visual,VISpm6b,VIS,pm,posteromedial,6b,"VISpm6b: rgb(8,133,137)",8,133,137
169,312782574,#N/A,/997/8/567/688/695/315/669/312782574/,Isocortex,Visual,Laterointermediate area,Visual,VISli,VIS,li,laterointermediate,,"VISli: rgb(10,133,139)",10,133,139
170,312782578,1216,/997/8/567/688/695/315/669/312782574/312782578/,Isocortex,Visual,"Laterointermediate area, layer 1",Visual,VISli1,VIS,li,laterointermediate,1,"VISli1: rgb(12,133,140)",12,133,140
171,312782582,1217,/997/8/567/688/695/315/669/312782574/312782582/,Isocortex,Visual,"Laterointermediate area, layer 2/3",Visual,VISli2/3,VIS,li,laterointermediate,45325,"VISli2/3: rgb(10,133,138)",10,133,138
172,312782586,1218,/997/8/567/688/695/315/669/312782574/312782586/,Isocortex,Visual,"Laterointermediate area, layer 4",Visual,VISli4,VIS,li,laterointermediate,4,"VISli4: rgb(8,130,140)",8,130,140
173,312782590,1219,/997/8/567/688/695/315/669/312782574/312782590/,Isocortex,Visual,"Laterointermediate area, layer 5",Visual,VISli5,VIS,li,laterointermediate,5,"VISli5: rgb(10,132,138)",10,132,138
174,312782594,1220,/997/8/567/688/695/315/669/312782574/312782594/,Isocortex,Visual,"Laterointermediate area, layer 6a",Visual,VISli6a,VIS,li,laterointermediate,6a,"VISli6a: rgb(8,132,136)",8,132,136
175,312782598,1221,/997/8/567/688/695/315/669/312782574/312782598/,Isocortex,Visual,"Laterointermediate area, layer 6b",Visual,VISli6b,VIS,li,laterointermediate,6b,"VISli6b: rgb(8,129,139)",8,129,139
176,312782628,#N/A,/997/8/567/688/695/315/669/312782628/,Isocortex,Visual,Postrhinal area,Visual,VISpor,VIS,por,postrhinal,,"VISpor: rgb(9,133,136)",9,133,136
177,312782632,1229,/997/8/567/688/695/315/669/312782628/312782632/,Isocortex,Visual,"Postrhinal area, layer 1",Visual,VISpor1,VIS,por,postrhinal,1,"VISpor1: rgb(9,129,140)",9,129,140
178,312782636,1230,/997/8/567/688/695/315/669/312782628/312782636/,Isocortex,Visual,"Postrhinal area, layer 2/3",Visual,VISpor2/3,VIS,por,postrhinal,45325,"VISpor2/3: rgb(10,131,137)",10,131,137
179,312782640,1231,/997/8/567/688/695/315/669/312782628/312782640/,Isocortex,Visual,"Postrhinal area, layer 4",Visual,VISpor4,VIS,por,postrhinal,4,"VISpor4: rgb(10,130,138)",10,130,138
180,312782644,1232,/997/8/567/688/695/315/669/312782628/312782644/,Isocortex,Visual,"Postrhinal area, layer 5",Visual,VISpor5,VIS,por,postrhinal,5,"VISpor5: rgb(11,131,138)",11,131,138
181,312782648,1233,/997/8/567/688/695/315/669/312782628/312782648/,Isocortex,Visual,"Postrhinal area, layer 6a",Visual,VISpor6a,VIS,por,postrhinal,6a,"VISpor6a: rgb(12,133,139)",12,133,139
182,312782652,1234,/997/8/567/688/695/315/669/312782628/312782652/,Isocortex,Visual,"Postrhinal area, layer 6b",Visual,VISpor6b,VIS,por,postrhinal,6b,"VISpor6b: rgb(12,132,140)",12,132,140
183,31,#N/A,/997/8/567/688/695/315/31/,Isocortex,Anterior cingulate,Anterior cingulate area,Anterior cingulate,ACA,ACA,,,,"ACA: rgb(64,166,102)",64,166,102
184,39,#N/A,/997/8/567/688/695/315/31/39/,Isocortex,Anterior cingulate,"Anterior cingulate area, dorsal part",Anterior cingulate,ACAd,ACA,d,dorsal,,"ACAd: rgb(64,166,101)",64,166,101
185,935,925,/997/8/567/688/695/315/31/39/935/,Isocortex,Anterior cingulate,"Anterior cingulate area, dorsal part, layer 1",Anterior cingulate,ACAd1,ACA,d,dorsal,1,"ACAd1: rgb(62,166,101)",62,166,101
186,211,204,/997/8/567/688/695/315/31/39/211/,Isocortex,Anterior cingulate,"Anterior cingulate area, dorsal part, layer 2/3",Anterior cingulate,ACAd2/3,ACA,d,dorsal,45325,"ACAd2/3: rgb(64,165,101)",64,165,101
187,1015,1004,/997/8/567/688/695/315/31/39/1015/,Isocortex,Anterior cingulate,"Anterior cingulate area, dorsal part, layer 5",Anterior cingulate,ACAd5,ACA,d,dorsal,5,"ACAd5: rgb(62,165,102)",62,165,102
188,919,909,/997/8/567/688/695/315/31/39/919/,Isocortex,Anterior cingulate,"Anterior cingulate area, dorsal part, layer 6a",Anterior cingulate,ACAd6a,ACA,d,dorsal,6a,"ACAd6a: rgb(63,166,100)",63,166,100
189,927,917,/997/8/567/688/695/315/31/39/927/,Isocortex,Anterior cingulate,"Anterior cingulate area, dorsal part, layer 6b",Anterior cingulate,ACAd6b,ACA,d,dorsal,6b,"ACAd6b: rgb(63,164,102)",63,164,102
190,48,#N/A,/997/8/567/688/695/315/31/48/,Isocortex,Anterior cingulate,"Anterior cingulate area, ventral part",Anterior cingulate,ACAv,ACA,v,ventral,,"ACAv: rgb(64,165,102)",64,165,102
191,588,578,/997/8/567/688/695/315/31/48/588/,Isocortex,Anterior cingulate,"Anterior cingulate area, ventral part, layer 1",Anterior cingulate,ACAv1,ACA,v,ventral,1,"ACAv1: rgb(64,166,100)",64,166,100
192,296,286,/997/8/567/688/695/315/31/48/296/,Isocortex,Anterior cingulate,"Anterior cingulate area, ventral part, layer 2/3",Anterior cingulate,ACAv2/3,ACA,v,ventral,45325,"ACAv2/3: rgb(63,165,102)",63,165,102
193,772,762,/997/8/567/688/695/315/31/48/772/,Isocortex,Anterior cingulate,"Anterior cingulate area, ventral part, layer 5",Anterior cingulate,ACAv5,ACA,v,ventral,5,"ACAv5: rgb(62,166,102)",62,166,102
194,810,800,/997/8/567/688/695/315/31/48/810/,Isocortex,Anterior cingulate,"Anterior cingulate area, ventral part, 6a",Anterior cingulate,ACAv6a,ACA,v,ventral,6a,"ACAv6a: rgb(64,165,100)",64,165,100
195,819,809,/997/8/567/688/695/315/31/48/819/,Isocortex,Anterior cingulate,"Anterior cingulate area, ventral part, 6b",Anterior cingulate,ACAv6b,ACA,v,ventral,6b,"ACAv6b: rgb(64,164,101)",64,164,101
196,972,#N/A,/997/8/567/688/695/315/972/,Isocortex,Prelimbic,Prelimbic area,Prelimbic,PL,PL,,,,"PL: rgb(46,167,80)",46,167,80
197,171,166,/997/8/567/688/695/315/972/171/,Isocortex,Prelimbic,"Prelimbic area, layer 1",Prelimbic,PL1,PL,,,1,"PL1: rgb(47,167,80)",47,167,80
198,304,294,/997/8/567/688/695/315/972/304/,Isocortex,Prelimbic,"Prelimbic area, layer 2/3",Prelimbic,PL2/3,PL,,,45325,"PL2/3: rgb(47,167,79)",47,167,79
199,363,353,/997/8/567/688/695/315/972/363/,Isocortex,Prelimbic,"Prelimbic area, layer 5",Prelimbic,PL5,PL,,,5,"PL5: rgb(46,168,79)",46,168,79
200,84,79,/997/8/567/688/695/315/972/84/,Isocortex,Prelimbic,"Prelimbic area, layer 6a",Prelimbic,PL6a,PL,,,6a,"PL6a: rgb(47,168,80)",47,168,80
201,132,127,/997/8/567/688/695/315/972/132/,Isocortex,Prelimbic,"Prelimbic area, layer 6b",Prelimbic,PL6b,PL,,,6b,"PL6b: rgb(47,168,79)",47,168,79
202,44,#N/A,/997/8/567/688/695/315/44/,Isocortex,Infralimbic,Infralimbic area,Infralimbic,ILA,ILA,,,,"ILA: rgb(89,179,99)",89,179,99
203,707,697,/997/8/567/688/695/315/44/707/,Isocortex,Infralimbic,"Infralimbic area, layer 1",Infralimbic,ILA1,ILA,,,1,"ILA1: rgb(89,178,99)",89,178,99
204,556,546,/997/8/567/688/695/315/44/556/,Isocortex,Infralimbic,"Infralimbic area, layer 2/3",Infralimbic,ILA2/3,ILA,,,45325,"ILA2/3: rgb(89,179,98)",89,179,98
205,827,817,/997/8/567/688/695/315/44/827/,Isocortex,Infralimbic,"Infralimbic area, layer 5",Infralimbic,ILA5,ILA,,,5,"ILA5: rgb(89,178,98)",89,178,98
206,1054,1043,/997/8/567/688/695/315/44/1054/,Isocortex,Infralimbic,"Infralimbic area, layer 6a",Infralimbic,ILA6a,ILA,,,6a,"ILA6a: rgb(88,179,98)",88,179,98
207,1081,1070,/997/8/567/688/695/315/44/1081/,Isocortex,Infralimbic,"Infralimbic area, layer 6b",Infralimbic,ILA6b,ILA,,,6b,"ILA6b: rgb(88,178,99)",88,178,99
208,714,#N/A,/997/8/567/688/695/315/714/,Isocortex,Orbital,Orbital area,Orbital,ORB,ORB,,,,"ORB: rgb(35,137,92)",35,137,92
209,723,#N/A,/997/8/567/688/695/315/714/723/,Isocortex,Orbital,"Orbital area, lateral part",Orbital,ORBl,ORB,l,lateral,,"ORBl: rgb(35,136,93)",35,136,93
210,448,438,/997/8/567/688/695/315/714/723/448/,Isocortex,Orbital,"Orbital area, lateral part, layer 1",Orbital,ORBl1,ORB,l,lateral,1,"ORBl1: rgb(35,138,93)",35,138,93
211,412,402,/997/8/567/688/695/315/714/723/412/,Isocortex,Orbital,"Orbital area, lateral part, layer 2/3",Orbital,ORBl2/3,ORB,l,lateral,45325,"ORBl2/3: rgb(35,138,94)",35,138,94
212,630,620,/997/8/567/688/695/315/714/723/630/,Isocortex,Orbital,"Orbital area, lateral part, layer 5",Orbital,ORBl5,ORB,l,lateral,5,"ORBl5: rgb(34,138,93)",34,138,93
213,440,430,/997/8/567/688/695/315/714/723/440/,Isocortex,Orbital,"Orbital area, lateral part, layer 6a",Orbital,ORBl6a,ORB,l,lateral,6a,"ORBl6a: rgb(36,137,93)",36,137,93
214,488,478,/997/8/567/688/695/315/714/723/488/,Isocortex,Orbital,"Orbital area, lateral part, layer 6b",Orbital,ORBl6b,ORB,l,lateral,6b,"ORBl6b: rgb(36,138,92)",36,138,92
215,731,#N/A,/997/8/567/688/695/315/714/731/,Isocortex,Orbital,"Orbital area, medial part",Orbital,ORBm,ORB,m,medial,,"ORBm: rgb(34,137,93)",34,137,93
216,484,474,/997/8/567/688/695/315/714/731/484/,Isocortex,Orbital,"Orbital area, medial part, layer 1",Orbital,ORBm1,ORB,m,medial,1,"ORBm1: rgb(35,137,93)",35,137,93
217,582,572,/997/8/567/688/695/315/714/731/582/,Isocortex,Orbital,"Orbital area, medial part, layer 2/3",Orbital,ORBm2/3,ORB,m,medial,45325,"ORBm2/3: rgb(36,136,93)",36,136,93
218,620,610,/997/8/567/688/695/315/714/731/620/,Isocortex,Orbital,"Orbital area, medial part, layer 5",Orbital,ORBm5,ORB,m,medial,5,"ORBm5: rgb(35,136,94)",35,136,94
219,910,900,/997/8/567/688/695/315/714/731/910/,Isocortex,Orbital,"Orbital area, medial part, layer 6a",Orbital,ORBm6a,ORB,m,medial,6a,"ORBm6a: rgb(34,136,94)",34,136,94
220,527696977,1291,/997/8/567/688/695/315/714/731/527696977/,Isocortex,Orbital,"Orbital area, medial part, layer 6b",Orbital,ORBm6b,ORB,m,medial,6b,"ORBm6b: rgb(36,135,94)",36,135,94
221,746,#N/A,/997/8/567/688/695/315/714/746/,Isocortex,Orbital,"Orbital area, ventrolateral part",Orbital,ORBvl,ORB,vl,ventrolateral,,"ORBvl: rgb(34,138,92)",34,138,92
222,969,959,/997/8/567/688/695/315/714/746/969/,Isocortex,Orbital,"Orbital area, ventrolateral part, layer 1",Orbital,ORBvl1,ORB,vl,ventrolateral,1,"ORBvl1: rgb(36,138,91)",36,138,91
223,288,278,/997/8/567/688/695/315/714/746/288/,Isocortex,Orbital,"Orbital area, ventrolateral part, layer 2/3",Orbital,ORBvl2/3,ORB,vl,ventrolateral,45325,"ORBvl2/3: rgb(36,138,93)",36,138,93
224,1125,1112,/997/8/567/688/695/315/714/746/1125/,Isocortex,Orbital,"Orbital area, ventrolateral part, layer 5",Orbital,ORBvl5,ORB,vl,ventrolateral,5,"ORBvl5: rgb(35,136,92)",35,136,92
225,608,598,/997/8/567/688/695/315/714/746/608/,Isocortex,Orbital,"Orbital area, ventrolateral part, layer 6a",Orbital,ORBvl6a,ORB,vl,ventrolateral,6a,"ORBvl6a: rgb(35,138,92)",35,138,92
226,680,670,/997/8/567/688/695/315/714/746/680/,Isocortex,Orbital,"Orbital area, ventrolateral part, layer 6b",Orbital,ORBvl6b,ORB,vl,ventrolateral,6b,"ORBvl6b: rgb(34,137,94)",34,137,94
227,95,#N/A,/997/8/567/688/695/315/95/,Isocortex,Agranular insula,Agranular insular area,Agranular insula,AI,AI,,,,"AI: rgb(33,152,102)",33,152,102
228,104,#N/A,/997/8/567/688/695/315/95/104/,Isocortex,Agranular insula,"Agranular insular area, dorsal part",Agranular insula,AId,AI,d,dorsal,,"AId: rgb(33,152,101)",33,152,101
229,996,986,/997/8/567/688/695/315/95/104/996/,Isocortex,Agranular insula,"Agranular insular area, dorsal part, layer 1",Agranular insula,AId1,AI,d,dorsal,1,"AId1: rgb(32,151,100)",32,151,100
230,328,318,/997/8/567/688/695/315/95/104/328/,Isocortex,Agranular insula,"Agranular insular area, dorsal part, layer 2/3",Agranular insula,AId2/3,AI,d,dorsal,45325,"AId2/3: rgb(32,151,101)",32,151,101
231,1101,1090,/997/8/567/688/695/315/95/104/1101/,Isocortex,Agranular insula,"Agranular insular area, dorsal part, layer 5",Agranular insula,AId5,AI,d,dorsal,5,"AId5: rgb(32,150,101)",32,150,101
232,783,773,/997/8/567/688/695/315/95/104/783/,Isocortex,Agranular insula,"Agranular insular area, dorsal part, layer 6a",Agranular insula,AId6a,AI,d,dorsal,6a,"AId6a: rgb(32,150,102)",32,150,102
233,831,821,/997/8/567/688/695/315/95/104/831/,Isocortex,Agranular insula,"Agranular insular area, dorsal part, layer 6b",Agranular insula,AId6b,AI,d,dorsal,6b,"AId6b: rgb(31,151,102)",31,151,102
234,111,#N/A,/997/8/567/688/695/315/95/111/,Isocortex,Agranular insula,"Agranular insular area, posterior part",Agranular insula,AIp,AI,p,posterior,,"AIp: rgb(33,151,102)",33,151,102
235,120,115,/997/8/567/688/695/315/95/111/120/,Isocortex,Agranular insula,"Agranular insular area, posterior part, layer 1",Agranular insula,AIp1,AI,p,posterior,1,"AIp1: rgb(33,151,101)",33,151,101
236,163,158,/997/8/567/688/695/315/95/111/163/,Isocortex,Agranular insula,"Agranular insular area, posterior part, layer 2/3",Agranular insula,AIp2/3,AI,p,posterior,45325,"AIp2/3: rgb(32,152,101)",32,152,101
237,344,334,/997/8/567/688/695/315/95/111/344/,Isocortex,Agranular insula,"Agranular insular area, posterior part, layer 5",Agranular insula,AIp5,AI,p,posterior,5,"AIp5: rgb(33,152,100)",33,152,100
238,314,304,/997/8/567/688/695/315/95/111/314/,Isocortex,Agranular insula,"Agranular insular area, posterior part, layer 6a",Agranular insula,AIp6a,AI,p,posterior,6a,"AIp6a: rgb(32,151,102)",32,151,102
239,355,345,/997/8/567/688/695/315/95/111/355/,Isocortex,Agranular insula,"Agranular insular area, posterior part, layer 6b",Agranular insula,AIp6b,AI,p,posterior,6b,"AIp6b: rgb(33,150,102)",33,150,102
240,119,#N/A,/997/8/567/688/695/315/95/119/,Isocortex,Agranular insula,"Agranular insular area, ventral part",Agranular insula,AIv,AI,v,ventral,,"AIv: rgb(32,152,102)",32,152,102
241,704,694,/997/8/567/688/695/315/95/119/704/,Isocortex,Agranular insula,"Agranular insular area, ventral part, layer 1",Agranular insula,AIv1,AI,v,ventral,1,"AIv1: rgb(32,152,100)",32,152,100
242,694,684,/997/8/567/688/695/315/95/119/694/,Isocortex,Agranular insula,"Agranular insular area, ventral part, layer 2/3",Agranular insula,AIv2/3,AI,v,ventral,45325,"AIv2/3: rgb(33,151,100)",33,151,100
243,800,790,/997/8/567/688/695/315/95/119/800/,Isocortex,Agranular insula,"Agranular insular area, ventral part, layer 5",Agranular insula,AIv5,AI,v,ventral,5,"AIv5: rgb(31,152,101)",31,152,101
244,675,665,/997/8/567/688/695/315/95/119/675/,Isocortex,Agranular insula,"Agranular insular area, ventral part, layer 6a",Agranular insula,AIv6a,AI,v,ventral,6a,"AIv6a: rgb(31,152,102)",31,152,102
245,699,689,/997/8/567/688/695/315/95/119/699/,Isocortex,Agranular insula,"Agranular insular area, ventral part, layer 6b",Agranular insula,AIv6b,AI,v,ventral,6b,"AIv6b: rgb(33,150,101)",33,150,101
246,254,#N/A,/997/8/567/688/695/315/254/,Isocortex,Retrosplenial,Retrosplenial area,Retrosplenial,RSP,RSP,,,,"RSP: rgb(26,166,152)",26,166,152
247,894,#N/A,/997/8/567/688/695/315/254/894/,Isocortex,Retrosplenial,"Retrosplenial area, lateral agranular part",Retrosplenial,RSPagl,RSP,agl,agranular,,"RSPagl: rgb(27,164,151)",27,164,151
248,671,661,/997/8/567/688/695/315/254/894/671/,Isocortex,Retrosplenial,"Retrosplenial area, lateral agranular part, layer 1",Retrosplenial,RSPagl1,RSP,agl,agranular,1,"RSPagl1: rgb(27,166,150)",27,166,150
249,965,955,/997/8/567/688/695/315/254/894/965/,Isocortex,Retrosplenial,"Retrosplenial area, lateral agranular part, layer 2/3",Retrosplenial,RSPagl2/3,RSP,agl,agranular,45325,"RSPagl2/3: rgb(26,164,150)",26,164,150
250,774,764,/997/8/567/688/695/315/254/894/774/,Isocortex,Retrosplenial,"Retrosplenial area, lateral agranular part, layer 5",Retrosplenial,RSPagl5,RSP,agl,agranular,5,"RSPagl5: rgb(28,166,151)",28,166,151
251,906,896,/997/8/567/688/695/315/254/894/906/,Isocortex,Retrosplenial,"Retrosplenial area, lateral agranular part, layer 6a",Retrosplenial,RSPagl6a,RSP,agl,agranular,6a,"RSPagl6a: rgb(28,165,151)",28,165,151
252,279,270,/997/8/567/688/695/315/254/894/279/,Isocortex,Retrosplenial,"Retrosplenial area, lateral agranular part, layer 6b",Retrosplenial,RSPagl6b,RSP,agl,agranular,6b,"RSPagl6b: rgb(26,165,152)",26,165,152
253,879,#N/A,/997/8/567/688/695/315/254/879/,Isocortex,Retrosplenial,"Retrosplenial area, dorsal part",Retrosplenial,RSPd,RSP,d,dorsal,,"RSPd: rgb(28,165,152)",28,165,152
254,442,432,/997/8/567/688/695/315/254/879/442/,Isocortex,Retrosplenial,"Retrosplenial area, dorsal part, layer 1",Retrosplenial,RSPd1,RSP,d,dorsal,1,"RSPd1: rgb(27,165,152)",27,165,152
255,434,424,/997/8/567/688/695/315/254/879/434/,Isocortex,Retrosplenial,"Retrosplenial area, dorsal part, layer 2/3",Retrosplenial,RSPd2/3,RSP,d,dorsal,45325,"RSPd2/3: rgb(27,166,151)",27,166,151
256,610,600,/997/8/567/688/695/315/254/879/610/,Isocortex,Retrosplenial,"Retrosplenial area, dorsal part, layer 5",Retrosplenial,RSPd5,RSP,d,dorsal,5,"RSPd5: rgb(26,165,150)",26,165,150
257,274,265,/997/8/567/688/695/315/254/879/274/,Isocortex,Retrosplenial,"Retrosplenial area, dorsal part, layer 6a",Retrosplenial,RSPd6a,RSP,d,dorsal,6a,"RSPd6a: rgb(26,166,151)",26,166,151
258,330,320,/997/8/567/688/695/315/254/879/330/,Isocortex,Retrosplenial,"Retrosplenial area, dorsal part, layer 6b",Retrosplenial,RSPd6b,RSP,d,dorsal,6b,"RSPd6b: rgb(27,166,152)",27,166,152
259,886,#N/A,/997/8/567/688/695/315/254/886/,Isocortex,Retrosplenial,"Retrosplenial area, ventral part",Retrosplenial,RSPv,RSP,v,ventral,,"RSPv: rgb(27,165,150)",27,165,150
260,542,532,/997/8/567/688/695/315/254/886/542/,Isocortex,Retrosplenial,"Retrosplenial area, ventral part, layer 1",Retrosplenial,RSPv1,RSP,v,ventral,1,"RSPv1: rgb(27,165,151)",27,165,151
261,430,420,/997/8/567/688/695/315/254/886/430/,Isocortex,Retrosplenial,"Retrosplenial area, ventral part, layer 2/3",Retrosplenial,RSPv2/3,RSP,v,ventral,45325,"RSPv2/3: rgb(26,165,151)",26,165,151
262,687,677,/997/8/567/688/695/315/254/886/687/,Isocortex,Retrosplenial,"Retrosplenial area, ventral part, layer 5",Retrosplenial,RSPv5,RSP,v,ventral,5,"RSPv5: rgb(27,164,152)",27,164,152
