neurotransmitter,class,subclass,supertype,cluster
,,,0861 SCs Pax7 Nfia Gaba_3,0861 Sst Chodl Gaba_5
,,,0862 SCs Pax7 Nfia Gaba_4,0862 Sst Chodl Gaba_6
,,,0863 SCs Pax7 Nfia Gaba_5,0863 NDB-SI-MA-STRv Lhx8 Gaba_1
,,,0864 PRT Mecom Gaba_1,0864 NDB-SI-MA-STRv Lhx8 Gaba_1
,,,0865 PRT Mecom Gaba_2,0865 NDB-SI-MA-STRv Lhx8 Gaba_1
,,,0866 PRT Mecom Gaba_3,0866 NDB-SI-MA-STRv Lhx8 Gaba_1
,,,0867 SC Tnnt1 Gli3 Gaba_1,0867 NDB-SI-MA-STRv Lhx8 Gaba_1
,,,0868 SC Tnnt1 Gli3 Gaba_2,0868 NDB-SI-MA-STRv Lhx8 Gaba_1
,,,0869 SCs Lef1 Gli3 Gaba_1,0869 NDB-SI-MA-STRv Lhx8 Gaba_1
,,,0870 SCs Lef1 Gli3 Gaba_2,0870 NDB-SI-MA-STRv Lhx8 Gaba_2
,,,0871 SCs Lef1 Gli3 Gaba_3,0871 NDB-SI-MA-STRv Lhx8 Gaba_2
,,,0872 SCsg Gabrr2 Gaba_1,0872 NDB-SI-MA-STRv Lhx8 Gaba_2
,,,0873 SCsg Gabrr2 Gaba_2,0873 NDB-SI-MA-STRv Lhx8 Gaba_2
,,,0874 SCsg Gabrr2 Gaba_3,0874 NDB-SI-MA-STRv Lhx8 Gaba_2
,,,0875 SCsg Gabrr2 Gaba_4,0875 NDB-SI-MA-STRv Lhx8 Gaba_2
,,,0876 SCsg Gabrr2 Gaba_5,0876 NDB-SI-MA-STRv Lhx8 Gaba_2
,,,0877 IPN Otp Crisp1 Gaba_1,0877 NDB-SI-MA-STRv Lhx8 Gaba_2
,,,0878 IPN Otp Crisp1 Gaba_2,0878 NDB-SI-MA-STRv Lhx8 Gaba_2
,,,0879 IPN Otp Crisp1 Gaba_3,0879 NDB-SI-MA-STRv Lhx8 Gaba_3
,,,0880 SNc-VTA-RAmb Foxa1 Dopa_1,0880 NDB-SI-MA-STRv Lhx8 Gaba_3
,,,0881 SNc-VTA-RAmb Foxa1 Dopa_2,0881 NDB-SI-MA-STRv Lhx8 Gaba_3
,,,0882 SNc-VTA-RAmb Foxa1 Dopa_3,0882 NDB-SI-MA-STRv Lhx8 Gaba_3
,,,0883 SNc-VTA-RAmb Foxa1 Dopa_4,0883 NDB-SI-MA-STRv Lhx8 Gaba_3
,,,0884 SNc-VTA-RAmb Foxa1 Dopa_5,0884 NDB-SI-MA-STRv Lhx8 Gaba_3
,,,0885 SNc-VTA-RAmb Foxa1 Dopa_6,0885 NDB-SI-MA-STRv Lhx8 Gaba_3
,,,0886 SNc-VTA-RAmb Foxa1 Dopa_7,0886 NDB-SI-MA-STRv Lhx8 Gaba_3
,,,0887 SNc-VTA-RAmb Foxa1 Dopa_8,0887 NDB-SI-MA-STRv Lhx8 Gaba_3
,,,0888 MB-MY Tph2 Glut-Sero_1,0888 NDB-SI-MA-STRv Lhx8 Gaba_3
,,,0889 MB-MY Tph2 Glut-Sero_2,0889 NDB-SI-MA-STRv Lhx8 Gaba_4
,,,0890 MB-MY Tph2 Glut-Sero_3,0890 NDB-SI-MA-STRv Lhx8 Gaba_4
,,,0891 MB-MY Tph2 Glut-Sero_4,0891 NDB-SI-MA-STRv Lhx8 Gaba_4
,,,0892 MB-MY Tph2 Glut-Sero_5,0892 NDB-SI-MA-STRv Lhx8 Gaba_4
,,,0893 MB-MY Tph2 Glut-Sero_6,0893 NDB-SI-MA-STRv Lhx8 Gaba_5
,,,0894 MB-MY Tph2 Glut-Sero_7,0894 NDB-SI-MA-STRv Lhx8 Gaba_5
,,,0895 PB Lmx1a Glut_1,0895 NDB-SI-MA-STRv Lhx8 Gaba_5
,,,0896 PB Lmx1a Glut_2,0896 NDB-SI-MA-STRv Lhx8 Gaba_5
,,,0897 PB Lmx1a Glut_3,0897 NDB-SI-MA-STRv Lhx8 Gaba_5
,,,0898 PB Lmx1a Glut_4,0898 NDB-SI-MA-STRv Lhx8 Gaba_5
,,,0899 PB Lmx1a Glut_5,0899 NDB-SI-MA-STRv Lhx8 Gaba_6
,,,0900 PB Lmx1a Glut_6,0900 NDB-SI-MA-STRv Lhx8 Gaba_6
,,,0901 PB Lmx1a Glut_7,0901 NDB-SI-MA-STRv Lhx8 Gaba_6
,,,0902 PSV Lmx1a Trpv6 Glut_1,0902 NDB-SI-MA-STRv Lhx8 Gaba_6
,,,0903 PB-SUT Tlx3 Lhx2 Glut_1,0903 NDB-SI-MA-STRv Lhx8 Gaba_6
,,,0904 PB Pax5 Glut_1,0904 NDB-SI-MA-STRv Lhx8 Gaba_7
,,,0905 PB Pax5 Glut_2,0905 NDB-SI-MA-STRv Lhx8 Gaba_7
,,,0906 LDT-PCG Vsx2 Lhx4 Glut_1,0906 NDB-SI-MA-STRv Lhx8 Gaba_7
,,,0907 LDT-PCG Vsx2 Lhx4 Glut_2,0907 NDB-SI-MA-STRv Lhx8 Gaba_8
,,,0908 LDT-PCG Vsx2 Lhx4 Glut_3,0908 NDB-SI-MA-STRv Lhx8 Gaba_8
,,,0909 LDT-PCG Vsx2 Lhx4 Glut_4,0909 NDB-SI-MA-STRv Lhx8 Gaba_8
,,,0910 LDT-PCG Vsx2 Lhx4 Glut_5,0910 NDB-SI-MA-STRv Lhx8 Gaba_9
,,,0911 LDT-PCG Vsx2 Lhx4 Glut_6,0911 NDB-SI-MA-STRv Lhx8 Gaba_9
,,,0912 LDT-PCG Vsx2 Lhx4 Glut_7,0912 NDB-SI-MA-STRv Lhx8 Gaba_10
,,,0913 LDT-PCG Vsx2 Lhx4 Glut_8,0913 NDB-SI-MA-STRv Lhx8 Gaba_10
,,,0914 PB Evx2 Glut_1,0914 NDB-SI-MA-STRv Lhx8 Gaba_10
,,,0915 PB Evx2 Glut_2,0915 NDB-SI-MA-STRv Lhx8 Gaba_11
,,,0916 PB Evx2 Glut_3,0916 NDB-SI-MA-STRv Lhx8 Gaba_12
,,,0917 PB Evx2 Glut_4,0917 NDB-SI-MA-STRv Lhx8 Gaba_13
,,,0918 PB Evx2 Glut_5,0918 GPe-SI Sox6 Cyp26b1 Gaba_1
,,,0919 PB Evx2 Glut_6,0919 GPe-SI Sox6 Cyp26b1 Gaba_2
,,,0920 PB Evx2 Glut_7,0920 GPe-SI Sox6 Cyp26b1 Gaba_2
,,,0921 PB Evx2 Glut_8,0921 GPe-SI Sox6 Cyp26b1 Gaba_2
,,,0922 PB Evx2 Glut_9,0922 GPe-SI Sox6 Cyp26b1 Gaba_2
,,,0923 B-PB Nr4a2 Glut_1,0923 PAL-STR Gaba-Chol_1
,,,0924 B-PB Nr4a2 Glut_2,0924 PAL-STR Gaba-Chol_1
,,,0925 PCG-PRNr Vsx2 Nkx6-1 Glut_1,0925 PAL-STR Gaba-Chol_1
,,,0926 PCG-PRNr Vsx2 Nkx6-1 Glut_2,0926 PAL-STR Gaba-Chol_1
,,,0927 PCG-PRNr Vsx2 Nkx6-1 Glut_3,0927 PAL-STR Gaba-Chol_1
,,,0928 PCG-PRNr Vsx2 Nkx6-1 Glut_4,0928 PAL-STR Gaba-Chol_1
,,,0929 PCG-PRNr Vsx2 Nkx6-1 Glut_5,0929 PAL-STR Gaba-Chol_2
,,,0930 PCG-PRNr Vsx2 Nkx6-1 Glut_6,0930 PAL-STR Gaba-Chol_2
,,,0931 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_1,0931 PAL-STR Gaba-Chol_2
,,,0932 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_2,0932 PAL-STR Gaba-Chol_2
,,,0933 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_3,0933 PAL-STR Gaba-Chol_2
,,,0934 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut_4,0934 PAL-STR Gaba-Chol_3
,,,0935 PRNc-PARN Tlx1 Glut_1,0935 PAL-STR Gaba-Chol_3
,,,0936 PRNc-PARN Tlx1 Glut_2,0936 PAL-STR Gaba-Chol_3
,,,0937 PRNc-PARN Tlx1 Glut_3,0937 PAL-STR Gaba-Chol_3
,,,0938 PB-PSV Phox2b Glut_1,0938 PAL-STR Gaba-Chol_3
,,,0939 PSV Pvalb Lhx2 Glut_1,0939 OT D3 Folh1 Gaba_1
,,,0940 PSV Pvalb Lhx2 Glut_2,0940 OT D3 Folh1 Gaba_2
,,,0941 PSV Pvalb Lhx2 Glut_3,0941 OT D3 Folh1 Gaba_3
,,,0942 PSV Pvalb Lhx2 Glut_4,0942 OT D3 Folh1 Gaba_3
,,,0943 PB-NTS Phox2b Ebf3 Lmx1b Glut_1,0943 STR D1 Gaba_1
,,,0944 PB-NTS Phox2b Ebf3 Lmx1b Glut_2,0944 STR D1 Gaba_1
,,,0945 PRNr Otp Nfib Glut_1,0945 STR D1 Gaba_1
,,,0946 IPN-LDT Vsx2 Nkx6-1 Glut_1,0946 STR D1 Gaba_1
,,,0947 IPN-LDT Vsx2 Nkx6-1 Glut_2,0947 STR D1 Gaba_1
,,,0948 LDT Vsx2 Nkx6-1 Nfib Glut_1,0948 STR D1 Gaba_2
,,,0949 LDT Vsx2 Nkx6-1 Nfib Glut_2,0949 STR D1 Gaba_2
,,,0950 NLL-SOC Spp1 Glut_1,0950 STR D1 Gaba_3
,,,0951 NLL-SOC Spp1 Glut_2,0951 STR D1 Gaba_3
,,,0952 MEV Ppp1r1c Glut_1,0952 STR D1 Gaba_3
,,,0953 PG-TRN-LRN Fat2 Glut_1,0953 STR D1 Gaba_4
,,,0954 IRN Vip Glut_1,0954 STR D1 Gaba_4
,,,0955 PRP-NI-PRNc-GRN Otp Glut_1,0955 STR D1 Gaba_5
,,,0956 PRP-NI-PRNc-GRN Otp Glut_2,0956 STR D1 Gaba_5
,,,0957 PRP-NI-PRNc-GRN Otp Glut_3,0957 STR D1 Gaba_5
,,,0958 PRP-NI-PRNc-GRN Otp Glut_4,0958 STR D1 Gaba_6
,,,0959 NTS Phox2b Glut_1,0959 STR D1 Gaba_6
,,,0960 NTS Phox2b Glut_2,0960 STR D1 Gaba_7
,,,0961 NTS Phox2b Glut_3,0961 STR D1 Gaba_8
,,,0962 NTS Phox2b Glut_4,0962 STR D1 Gaba_8
,,,0963 NTS Phox2b Glut_5,0963 STR D1 Gaba_8
,,,0964 NTS Phox2b Glut_6,0964 STR D1 Gaba_9
,,,0965 NTS Phox2b Glut_7,0965 STR D2 Gaba_1
,,,0966 NTS Phox2b Glut_8,0966 STR D2 Gaba_1
,,,0967 NTS Phox2b Glut_9,0967 STR D2 Gaba_1
,,,0968 NTS Phox2b Glut_10,0968 STR D2 Gaba_1
,,,0969 MARN-GRN Pyy Glut_1,0969 STR D2 Gaba_1
,,,0970 MDRNv Lhx4 Qrfprl Glut_1,0970 STR D2 Gaba_1
,,,0971 NTS Mbnl3 Glut_1,0971 STR D2 Gaba_1
,,,0972 PGRNd Dmbx1 Glut_1,0972 STR D2 Gaba_2
,,,0973 PGRN-PARN-MDRN Hoxb5 Glut_1,0973 STR D2 Gaba_2
,,,0974 PGRN-PARN-MDRN Hoxb5 Glut_2,0974 STR D2 Gaba_2
,,,0975 PGRN-PARN-MDRN Hoxb5 Glut_3,0975 STR D2 Gaba_2
,,,0976 PGRN-PARN-MDRN Hoxb5 Glut_4,0976 STR D2 Gaba_2
,,,0977 PGRN-PARN-MDRN Hoxb5 Glut_5,0977 STR D2 Gaba_2
,,,0978 PGRN-PARN-MDRN Hoxb5 Glut_6,0978 STR D2 Gaba_3
,,,0979 PGRN-PARN-MDRN Hoxb5 Glut_7,0979 STR D2 Gaba_4
,,,0980 MV-SPIV Slc6a2 Glut_1,0980 STR D2 Gaba_4
,,,0981 SPVI-SPVC Tlx3 Ebf3 Glut_1,0981 STR D2 Gaba_4
,,,0982 SPVI-SPVC Tlx3 Ebf3 Glut_2,0982 STR D2 Gaba_4
,,,0983 SPVI-SPVC Tlx3 Ebf3 Glut_3,0983 STR D2 Gaba_5
,,,0984 SPVI-SPVC Tlx3 Ebf3 Glut_4,0984 STR D2 Gaba_5
,,,0985 SPVI-SPVC Tlx3 Ebf3 Glut_5,0985 STR D2 Gaba_5
,,,0986 SPVI-SPVC Tlx3 Ebf3 Glut_6,0986 STR D2 Gaba_6
,,,0987 SPVI-SPVC Tlx3 Ebf3 Glut_7,0987 STR D2 Gaba_6
,,,0988 CU-ECU-SPVI Foxb1 Glut_1,0988 STR D2 Gaba_6
,,,0989 CU-ECU-SPVI Foxb1 Glut_2,0989 STR D2 Gaba_7
,,,0990 CU-ECU-SPVI Foxb1 Glut_3,0990 STR D1 Sema5a Gaba_1
,,,0991 CU-ECU-SPVI Foxb1 Glut_4,0991 STR D1 Sema5a Gaba_1
,,,0992 MV-SPIV Phox2b Ebf3 Lbx1 Glut_1,0992 STR D1 Sema5a Gaba_2
,,,0993 MV-SPIV Phox2b Ebf3 Lbx1 Glut_2,0993 STR D1 Sema5a Gaba_2
,,,0994 MV-SPIV Phox2b Ebf3 Lbx1 Glut_3,0994 STR D1 Sema5a Gaba_2
,,,0995 MV-SPIV Phox2b Ebf3 Lbx1 Glut_4,0995 STR D1 Sema5a Gaba_2
,,,0996 MV-SPIV Phox2b Ebf3 Lbx1 Glut_5,0996 STR D1 Sema5a Gaba_2
,,,0997 MV-SPIV Zic4 Neurod2 Glut_1,0997 STR D1 Sema5a Gaba_3
,,,0998 MV-SPIV Zic4 Neurod2 Glut_2,0998 STR D1 Sema5a Gaba_3
,,,0999 MV-SPIV Zic4 Neurod2 Glut_3,0999 STR D1 Sema5a Gaba_4
,,,1000 MV-SPIV Zic4 Neurod2 Glut_4,1000 STR D1 Sema5a Gaba_4
,,,1001 MV-SPIV Zic4 Neurod2 Glut_5,1001 STR-PAL Chst9 Gaba_1
,,,1002 NTS Aldh1a2 Glut_1,1002 STR-PAL Chst9 Gaba_1
,,,1003 CBN Neurod2 Pvalb Glut_1,1003 STR-PAL Chst9 Gaba_1
,,,1004 NTS Dbh Glut_1,1004 STR-PAL Chst9 Gaba_2
,,,1005 NTS Dbh Glut_2,1005 STR-PAL Chst9 Gaba_2
,,,1006 NTS Dbh Glut_3,1006 STR-PAL Chst9 Gaba_2
,,,1007 NTS Dbh Glut_4,1007 STR-PAL Chst9 Gaba_2
,,,1008 NTS Dbh Glut_5,1008 STR-PAL Chst9 Gaba_3
,,,1009 NTS Dbh Glut_6,1009 STR-PAL Chst9 Gaba_3
,,,1010 DMX VII Tbx20 Chol_1,1010 STR-PAL Chst9 Gaba_3
,,,1011 DMX VII Tbx20 Chol_2,1011 STR-PAL Chst9 Gaba_4
,,,1012 IO Fgl2 Glut_1,1012 STR-PAL Chst9 Gaba_4
,,,1013 VCO Mafa Meis2 Glut_1,1013 STR-PAL Chst9 Gaba_5
,,,1014 VCO Mafa Meis2 Glut_2,1014 STR-PAL Chst9 Gaba_5
,,,1015 VCO Mafa Meis2 Glut_3,1015 STR-PAL Chst9 Gaba_5
,,,1016 VCO Mafa Meis2 Glut_4,1016 IA Mgp Gaba_1
,,,1017 SPVO Mafa Meis2 Glut_1,1017 IA Mgp Gaba_1
,,,1018 SPVC Mafa Glut_1,1018 IA Mgp Gaba_1
,,,1019 SPVC Mafa Glut_2,1019 IA Mgp Gaba_2
,,,1020 SPVC Ccdc172 Glut_1,1020 IA Mgp Gaba_2
,,,1021 SPVC Nmu Glut_1,1021 IA Mgp Gaba_3
,,,1022 SPVC Nmu Glut_2,1022 IA Mgp Gaba_3
,,,1023 MDRNd Bves Glut_1,1023 IA Mgp Gaba_3
,,,1024 MDRNv Crp Glut_1,1024 IA Mgp Gaba_4
,,,1025 HB Calcb Chol_1,1025 IA Mgp Gaba_5
,,,1026 HB Calcb Chol_2,1026 IA Mgp Gaba_5
,,,1027 HB Calcb Chol_3,1027 IA Mgp Gaba_5
,,,1028 HB Calcb Chol_4,1028 NDB-SI-ant Prdm12 Gaba_1
,,,1029 HB Calcb Chol_5,1029 NDB-SI-ant Prdm12 Gaba_1
,,,1030 Pineal Crx Glut_1,1030 NDB-SI-ant Prdm12 Gaba_1
,,,1031 CS-RPO Meis2 Gaba_1,1031 NDB-SI-ant Prdm12 Gaba_1
,,,1032 CS-RPO Meis2 Gaba_2,1032 NDB-SI-ant Prdm12 Gaba_1
,,,1033 CS-RPO Meis2 Gaba_3,1033 NDB-SI-ant Prdm12 Gaba_1
,,,1034 CS-RPO Meis2 Gaba_4,1034 NDB-SI-ant Prdm12 Gaba_1
,,,1035 CS-RPO Meis2 Gaba_5,1035 NDB-SI-ant Prdm12 Gaba_1
,,,1036 PRNc Otp Gly-Gaba_1,1036 NDB-SI-ant Prdm12 Gaba_1
,,,1037 PRNc Otp Gly-Gaba_2,1037 NDB-SI-ant Prdm12 Gaba_1
,,,1038 PRNc Otp Gly-Gaba_3,1038 NDB-SI-ant Prdm12 Gaba_2
,,,1039 PRNc Otp Gly-Gaba_4,1039 NDB-SI-ant Prdm12 Gaba_3
,,,1040 PRNc Otp Gly-Gaba_5,1040 NDB-SI-ant Prdm12 Gaba_3
,,,1041 PB Sst Gly-Gaba_1,1041 NDB-SI-ant Prdm12 Gaba_4
,,,1042 PB Sst Gly-Gaba_2,1042 LSX Sall3 Pax6 Gaba_1
,,,1043 PRNc Prox1 Brs3 Gly-Gaba_1,1043 LSX Sall3 Pax6 Gaba_1
,,,1044 CS-PRNr-PCG Tmem163 Otp Gaba_1,1044 LSX Sall3 Pax6 Gaba_2
,,,1045 CS-PRNr-PCG Tmem163 Otp Gaba_2,1045 LSX Sall3 Pax6 Gaba_2
,,,1046 CS-PRNr-PCG Tmem163 Otp Gaba_3,1046 LSX Sall3 Pax6 Gaba_2
,,,1047 CS-PRNr-DR En1 Sox2 Gaba_1,1047 LSX Sall3 Pax6 Gaba_2
,,,1048 CS-PRNr-DR En1 Sox2 Gaba_2,1048 LSX Sall3 Pax6 Gaba_2
,,,1049 LDT Fgf7 Gaba_1,1049 LSX Sall3 Pax6 Gaba_2
,,,1050 LDT-DTN Gata3 Nfix Gaba_1,1050 LSX Otx2 Gaba_1
,,,1051 LDT-DTN Gata3 Nfix Gaba_2,1051 LSX Otx2 Gaba_1
,,,1052 NI-RPO Gata3 Nr4a2 Gaba_1,1052 LSX Otx2 Gaba_2
,,,1053 NI-RPO Gata3 Nr4a2 Gaba_2,1053 LSX Otx2 Gaba_2
,,,1054 NI-RPO Gata3 Nr4a2 Gaba_3,1054 LSX Otx2 Gaba_2
,,,1055 NI-RPO Gata3 Nr4a2 Gaba_4,1055 LSX Otx2 Gaba_3
,,,1056 LDT-PCG-CS Gata3 Lhx1 Gaba_1,1056 LSX Otx2 Gaba_3
,,,1057 LDT-PCG-CS Gata3 Lhx1 Gaba_2,1057 LSX Otx2 Gaba_3
,,,1058 LDT-PCG-CS Gata3 Lhx1 Gaba_3,1058 LSX Otx2 Gaba_3
,,,1059 LDT-PCG-CS Gata3 Lhx1 Gaba_4,1059 LSX Otx2 Gaba_3
,,,1060 LDT-PCG-CS Gata3 Lhx1 Gaba_5,1060 LSX Otx2 Gaba_3
,,,1061 PDTg-PCG Pax6 Gaba_1,1061 LSX Otx2 Gaba_3
,,,1062 PDTg-PCG Pax6 Gaba_2,1062 LSX Otx2 Gaba_3
,,,1063 PDTg-PCG Pax6 Gaba_3,1063 LSX Otx2 Gaba_3
,,,1064 PDTg-PCG Pax6 Gaba_4,1064 LSX Otx2 Gaba_4
,,,1065 PDTg Otp Shroom3 Gaba_1,1065 LSX Otx2 Gaba_4
,,,1066 PDTg Otp Olig3 Gaba_1,1066 LSX Otx2 Gaba_4
,,,1067 LDT-PCG St18 Gaba_1,1067 LSX Otx2 Gaba_4
,,,1068 LDT-PCG St18 Gaba_2,1068 LSX Otx2 Gaba_4
,,,1069 DTN-LDT-IPN Otp Pax3 Gaba_1,1069 LSX Otx2 Gaba_5
,,,1070 DTN-LDT-IPN Otp Pax3 Gaba_2,1070 LSX Otx2 Gaba_5
,,,1071 DTN-LDT-IPN Otp Pax3 Gaba_3,1071 LSX Otx2 Gaba_5
,,,1072 DTN-LDT-IPN Otp Pax3 Gaba_4,1072 LSX Otx2 Gaba_5
,,,1073 DTN-LDT-IPN Otp Pax3 Gaba_5,1073 LSX Otx2 Gaba_5
,,,1074 NLL Gata3 Gly-Gaba_1,1074 LSX Nkx2-1 Gaba_1
,,,1075 NLL Gata3 Gly-Gaba_2,1075 LSX Nkx2-1 Gaba_1
,,,1076 NLL Gata3 Gly-Gaba_3,1076 LSX Nkx2-1 Gaba_2
,,,1077 NLL Gata3 Gly-Gaba_4,1077 LSX Nkx2-1 Gaba_2
,,,1078 PSV Pax2 Gly-Gaba_1,1078 LSX Nkx2-1 Gaba_2
,,,1079 PSV Pax2 Gly-Gaba_2,1079 LSX Nkx2-1 Gaba_2
,,,1080 NLL-po Pax7 Gaba_1,1080 LSX Nkx2-1 Gaba_2
,,,1081 POR Gata3 Gly-Gaba_1,1081 LSX Nkx2-1 Gaba_2
,,,1082 POR Spp1 Gly-Gaba_1,1082 LSX Nkx2-1 Gaba_2
,,,1083 PRP Otp Gly-Gaba_1,1083 LSX Nkx2-1 Gaba_2
,,,1084 PRP Otp Gly-Gaba_2,1084 LSX Nkx2-1 Gaba_2
,,,1085 PRP Otp Gly-Gaba_3,1085 LSX Nkx2-1 Gaba_2
,,,1086 PRP Otp Gly-Gaba_4,1086 LSX Nkx2-1 Gaba_2
,,,1087 PRP Otp Gly-Gaba_5,1087 LSX Nkx2-1 Gaba_2
,,,1088 GRN-IRN-MDRNd Ikzf1 Gly-Gaba_1,1088 LSX Nkx2-1 Gaba_3
,,,1089 MY Lhx1 Gly-Gaba_1,1089 LSX Nkx2-1 Gaba_3
,,,1090 MY Lhx1 Gly-Gaba_2,1090 LSX Nkx2-1 Gaba_3
,,,1091 MY Lhx1 Gly-Gaba_3,1091 LSX Nkx2-1 Gaba_3
,,,1092 MY Lhx1 Gly-Gaba_4,1092 LSX Nkx2-1 Gaba_3
,,,1093 MY Lhx1 Gly-Gaba_5,1093 LSX Nkx2-1 Gaba_4
,,,1094 MY Lhx1 Gly-Gaba_6,1094 LSX Nkx2-1 Gaba_4
,,,1095 MY Lhx1 Gly-Gaba_7,1095 LSX Nkx2-1 Gaba_4
,,,1096 MY Lhx1 Gly-Gaba_8,1096 LSX Nkx2-1 Gaba_4
,,,1097 MY Lhx1 Gly-Gaba_9,1097 LSX Nkx2-1 Gaba_5
,,,1098 PPY-PGRNl Vip Glyc-Gaba_1,1098 LSX Nkx2-1 Gaba_5
,,,1099 MV-SPIV-PRP Dmbx1 Gly-Gaba_1,1099 LSX Nkx2-1 Gaba_5
,,,1100 MV-SPIV-PRP Dmbx1 Gly-Gaba_2,1100 LSX Nkx2-1 Gaba_5
,,,1101 MV-SPIV-PRP Dmbx1 Gly-Gaba_3,1101 LSX Nkx2-1 Gaba_6
,,,1102 MDRN Hoxb5 Ebf2 Gly-Gaba_1,1102 LSX Nkx2-1 Gaba_6
,,,1103 MDRNd Prox1 Pax6 Gly-Gaba_1,1103 LSX Nkx2-1 Gaba_6
,,,1104 MY Prox1 Lmo7 Gly-Gaba_1,1104 LSX Nkx2-1 Gaba_7
,,,1105 NTS-MDRNd Prox1 Zic1 Gly-Gaba_1,1105 LSX Nkx2-1 Gaba_7
,,,1106 NTS-MDRNd Prox1 Zic1 Gly-Gaba_2,1106 LSX Nkx2-1 Gaba_7
,,,1107 MV Nkx6-1 Gly-Gaba_1,1107 LSX Nkx2-1 Gaba_7
,,,1108 MV Nkx6-1 Gly-Gaba_2,1108 LSX Nkx2-1 Gaba_8
,,,1109 PAS-MV Ebf2 Gly-Gaba_1,1109 LSX Nkx2-1 Gaba_8
,,,1110 PAS-MV Ebf2 Gly-Gaba_2,1110 LSX Nkx2-1 Gaba_8
,,,1111 PAS-MV Ebf2 Gly-Gaba_3,1111 LSX Nkx2-1 Gaba_9
,,,1112 PAS-MV Ebf2 Gly-Gaba_4,1112 LSX Nkx2-1 Gaba_10
,,,1113 MV Pax6 Gly-Gaba_1,1113 LSX Nkx2-1 Gaba_11
,,,1114 MV Pax6 Gly-Gaba_2,1114 LSX Nkx2-1 Gaba_11
,,,1115 CBN Dmbx1 Gaba_1,1115 LSX Prdm12 Slit2 Gaba_1
,,,1116 RPA Pax6 Hoxb5 Gly-Gaba_1,1116 LSX Prdm12 Slit2 Gaba_1
,,,1117 CU-ECU Pax2 Gly-Gaba_1,1117 LSX Prdm12 Slit2 Gaba_1
,,,1118 PRP Gata3 Slc6a5 Gly-Gaba_1,1118 LSX Prdm12 Slit2 Gaba_1
,,,1119 MARN-PPY Ngfr Gly-Gaba_1,1119 LSX Prdm12 Slit2 Gaba_1
,,,1120 PARN-MDRNd-NTS Gbx2 Gly-Gaba_1,1120 LSX Prdm12 Slit2 Gaba_1
,,,1121 PARN-MDRNd-NTS Gbx2 Gly-Gaba_2,1121 LSX Prdm12 Slit2 Gaba_1
,,,1122 PARN-MDRNd-NTS Gbx2 Gly-Gaba_3,1122 LSX Prdm12 Slit2 Gaba_1
,,,1123 PARN-MDRNd-NTS Gbx2 Gly-Gaba_4,1123 LSX Prdm12 Slit2 Gaba_1
,,,1124 PARN-MDRNd-NTS Gbx2 Gly-Gaba_5,1124 LSX Prdm12 Slit2 Gaba_2
,,,1125 PARN-MDRNd-NTS Gbx2 Gly-Gaba_6,1125 LSX Prdm12 Slit2 Gaba_2
,,,1126 PARN-MDRNd-NTS Gbx2 Gly-Gaba_7,1126 LSX Prdm12 Slit2 Gaba_2
,,,1127 MV Nr4a2 Gly-Gaba_1,1127 LSX Prdm12 Slit2 Gaba_2
,,,1128 MV Xdh Gly-Gaba_1,1128 LSX Prdm12 Slit2 Gaba_2
,,,1129 IRN Dmbx1 Pax2 Gly-Gaba_1,1129 LSX Prdm12 Slit2 Gaba_2
,,,1130 NTS-PARN Neurod2 Gly-Gaba_1,1130 LSX Prdm12 Slit2 Gaba_2
,,,1131 NTS-PARN Neurod2 Gly-Gaba_2,1131 LSX Prdm12 Slit2 Gaba_3
,,,1132 NTS-PARN Neurod2 Gly-Gaba_3,1132 LSX Prdm12 Slit2 Gaba_3
,,,1133 NTS-PARN Neurod2 Gly-Gaba_4,1133 LSX Prdm12 Slit2 Gaba_3
,,,1134 NTS-PARN Neurod2 Gly-Gaba_5,1134 LSX Prdm12 Slit2 Gaba_3
,,,1135 NTS-PARN Neurod2 Gly-Gaba_6,1135 LSX Prdm12 Slit2 Gaba_3
,,,1136 SPVI-SPVC Sall3 Nfib Gly-Gaba_1,1136 LSX Prdm12 Slit2 Gaba_3
,,,1137 SPVI-SPVC Sall3 Nfib Gly-Gaba_2,1137 LSX Prdm12 Slit2 Gaba_4
,,,1138 SPVI-SPVC Sall3 Lhx1 Gly-Gaba_1,1138 LSX Prdm12 Slit2 Gaba_4
,,,1139 SPVI-SPVC Sall3 Lhx1 Gly-Gaba_2,1139 LSX Prdm12 Slit2 Gaba_5
,,,1140 RO-RPA Pkd2l1 Gaba_1,1140 LSX Prdm12 Slit2 Gaba_5
,,,1141 DCO Il22 Gly-Gaba_1,1141 LSX Prdm12 Slit2 Gaba_5
,,,1142 DCO Il22 Gly-Gaba_2,1142 LSX Prdm12 Slit2 Gaba_5
,,,1143 DCO Il22 Gly-Gaba_3,1143 LSX Prdm12 Slit2 Gaba_6
,,,1144 CB PLI Gly-Gaba_1,1144 LSX Prdm12 Slit2 Gaba_6
,,,1145 CB PLI Gly-Gaba_2,1145 LSX Prdm12 Slit2 Gaba_7
,,,1146 CB PLI Gly-Gaba_3,1146 LSX Prdm12 Slit2 Gaba_7
